"cellID","X95","X190","X285","X380","X475","X950","X1425","X1900","X4750","X9500","X14250","rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
1321,"1",0.428571428571429,"0.416666666666667","0.5","0.476190476190476","0.471337579617834","0.46927374301676","0.485576923076923","0.470608695652174","0.448589486665639","0.426308694675354",1,8,13,26,4224.80445419268,14396.3013852203
1322,"1",0.6,"0.571428571428571","0.541666666666667","0.459459459459459","0.549019607843137","0.540845070422535","0.523584905660377","0.467122767008742","0.456293423816449","0.427611345255724",1,27,41,24,3343.74737275912,14390.2342582193
1323,NA,0.75,"0.428571428571429","0.434782608695652","0.333333333333333","0.330882352941176","0.353741496598639","0.344230769230769","0.368354430379747","0.436492959790971","0.424305861613045",1,24,24,63,9106.29724815129,14399.2273420209
1328,"0.5",0.666666666666667,"0.5","0.444444444444444","0.476190476190476","0.405594405594406","0.421538461538462","0.383802816901408","0.397665369649805","0.438906980036812","0.424305861613045",1,30,24,28,8050.18560380726,14377.9116646893
1331,"0.666666666666667",0.285714285714286,"0.3","0.375","0.477272727272727","0.473333333333333","0.47752808988764","0.491143317230274","0.470485504715334","0.449459041731066","0.426227666029891",1,4,22,38,4154.05538922156,14382.1298888003
1332,"1",0.571428571428571,"0.461538461538462","0.421052631578947","0.32258064516129","0.468354430379747","0.417582417582418","0.44408945686901","0.468134801468135","0.442070909360629","0.425822953736655",1,15,23,20,5094.3966356795,14380.8087830702
1336,"1",0.5,"0.333333333333333","0.388888888888889","0.470588235294118","0.408450704225352","0.380503144654088","0.376363636363636","0.386091127098321","0.438213470319635","0.424305861613045",1,22,12,19,8458.44106873519,14386.9520571333
1337,"0",0,"0","0.0555555555555556","0.142857142857143","0.229007633587786","0.262357414448669","0.271099744245524","0.314144736842105","0.431679578045162","0.424305861613045",1,54,12,31,10808.6570574793,14381.8741435497
1338,NA,0.666666666666667,"0.647058823529412","0.580645161290323","0.5","0.426666666666667","0.411764705882353","0.415824915824916","0.426422018348624","0.44086326849354","0.42466357820428",1,25,12,7,7079.48982271832,14372.4451281836
1344,"1",0.25,"0.375","0.46875","0.444444444444444","0.476190476190476","0.428134556574924","0.408163265306122","0.413173652694611","0.441064100749965","0.424399382852105",1,21,22,16,7382.01353302057,14364.9534497621
1345,"1",0.666666666666667,"0.428571428571429","0.5","0.461538461538462","0.53072625698324","0.488997555012225","0.49615975422427","0.470101195952162","0.469756621331424","0.430548982489352",1,22,29,9,1881.87191216834,14365.0163056281
1347,"0",0,"0","0","0.105263157894737","0.270676691729323","0.274021352313167","0.304609218436874","0.349514563106796","0.436431784107946","0.424305861613045",1,1,10,42,9777.97460220318,14363.4165000331
1351,"0",0.428571428571429,"0.277777777777778","0.34375","0.302325581395349","0.263157894736842","0.259259259259259","0.252199413489736","0.310283687943262","0.426079447322971","0.424305861613045",1,11,7,15,11280.4986290638,14361.028009832
1353,"1",0.333333333333333,"0.333333333333333","0.4","0.45","0.444444444444444","0.412462908011869","0.398972602739726","0.402065799540933","0.439372526851328","0.424305861613045",1,29,36,21,7704.66299460432,14365.4882545328
1354,NA,0.2,"0.333333333333333","0.28","0.268292682926829","0.268292682926829","0.259574468085106","0.256983240223464","0.310740953475014","0.426962457337884","0.424305861613045",1,5,7,4,11146.5851841029,14352.5534596014
1358,"0.5",0.444444444444444,"0.533333333333333","0.5","0.542857142857143","0.516778523489933","0.549019607843137","0.513219284603421","0.46969696969697","0.453314212874442","0.427371765773945",1,29,37,27,3489.73028883685,14348.701687124
1362,"1",0.5,"0.285714285714286","0.4","0.485714285714286","0.401408450704225","0.386075949367089","0.376363636363636","0.385043754972156","0.438307539400824","0.424305861613045",1,18,6,2,8495.10931435964,14334.5385782777
1363,"0",0.428571428571429,"0.4375","0.5","0.475","0.410071942446043","0.4","0.375224416517056","0.389020537124803","0.438164045898853","0.424305861613045",1,0,6,11,8322.52031714569,14333.3016991934
1364,"0",0.166666666666667,"0.230769230769231","0.28","0.3125","0.380434782608696","0.456140350877193","0.464991023339318","0.472024415055951","0.479017013232514","0.430300096805421",1,31,54,21,1256.02385321101,14339.866743989
1366,"1",0.666666666666667,"0.736842105263158","0.689655172413793","0.6","0.556213017751479","0.539440203562341","0.510980966325037","0.473969179508538","0.460677966101695","0.429184549356223",1,16,15,21,2532.27724706904,14342.1221958926
1367,"1",0.625,"0.461538461538462","0.45","0.354838709677419","0.481481481481481","0.408839779005525","0.445686900958466","0.467597208374875","0.441579490201856","0.425888888888889",1,39,33,26,5142.66891385768,14340.9143378796
1369,"0",0.166666666666667,"0.307692307692308","0.375","0.244444444444444","0.296296296296296","0.32312925170068","0.326295585412668","0.35704989154013","0.436278798483523","0.424305861613045",1,7,6,4,9361.13159557662,14326.1930534662
1370,"0",0,"0.266666666666667","0.384615384615385","0.4","0.447204968944099","0.401840490797546","0.414551607445008","0.439816448993999","0.441523376438823","0.424787551042931",1,59,25,33,6604.25560110592,14325.4187976258
1371,"1",0.166666666666667,"0.3","0.238095238095238","0.285714285714286","0.295454545454545","0.265895953757225","0.252747252747253","0.287839586028461","0.415641637598678","0.424319259177599",1,12,9,10,11815.9858572672,14331.1847107491
1375,"1",0.6,"0.363636363636364","0.48","0.488372093023256","0.489795918367347","0.474860335195531","0.483091787439614","0.47085201793722","0.448508033664881","0.426264438712571",1,20,13,25,4223.39594118865,14323.0628051998
1378,"1",0.7,"0.611111111111111","0.6875","0.583333333333333","0.554913294797688","0.536523929471033","0.508695652173913","0.472550675675676","0.461748168342137","0.428970006975122",1,9,22,33,2442.0661971831,14325.7835603305
1381,"1",0.6,"0.571428571428571","0.5","0.486486486486487","0.541935483870968","0.551246537396122","0.526645768025078","0.468028755202421","0.455539475799968","0.427612110175279",1,24,14,14,3315.69766818547,14322.9590625621
1383,"0",0.5,"0.5","0.428571428571429","0.34375","0.347517730496454","0.346666666666667","0.34469696969697","0.372467961967755","0.437948865268601","0.424305861613045",1,11,6,32,9005.6159948542,14322.3741156981
1385,"1",0.333333333333333,"0.214285714285714","0.419354838709677","0.41025641025641","0.465277777777778","0.414925373134328","0.4","0.403335860500379","0.439449283506603","0.424305861613045",1,49,16,54,7700.63388461053,14299.7700926244
1386,"0.333333333333333",0.428571428571429,"0.5","0.52","0.444444444444444","0.509803921568627","0.548295454545455","0.514820592823713","0.471766848816029","0.45276151289761","0.427099841521395",1,33,21,34,3569.4775134572,14311.2674645604
1387,"1",0.666666666666667,"0.666666666666667","0.653846153846154","0.447368421052632","0.437086092715232","0.473684210526316","0.469255663430421","0.47072758037225","0.446070297179062","0.426671137938744",1,22,14,7,4462.6315978456,14305.075107519
1389,"0",0.666666666666667,"0.571428571428571","0.555555555555556","0.476190476190476","0.465753424657534","0.47075208913649","0.472668810289389","0.470908472269479","0.447228549734244","0.426524902070509",1,18,9,21,4343.40781440781,14303.6820243339
1393,"0.5",0.333333333333333,"0.2","0.272727272727273","0.32258064516129","0.303370786516854","0.273224043715847","0.246478873239437","0.289891926255563","0.417392883079158","0.42428917787084",1,47,24,18,11764.3758992806,14290.5093126863
1395,"0.333333333333333",0.285714285714286,"0.4375","0.484848484848485","0.456521739130435","0.466216216216216","0.43558282208589","0.407917383820998","0.414227491663579","0.440957072484166","0.42435261707989",1,22,11,18,7343.95083188478,14302.2415225479
1399,"0.5",0.714285714285714,"0.642857142857143","0.56","0.571428571428571","0.547619047619048","0.555555555555556","0.526555386949924","0.473285486443381","0.459504132231405","0.4281120808452",1,25,23,12,2822.68937744885,14282.6418262662
1410,"0.5",0.375,"0.416666666666667","0.428571428571429","0.387096774193548","0.464516129032258","0.412256267409471","0.442307692307692","0.469099276791584","0.441400527395253","0.42576346474181",1,69,44,55,5118.3171742283,14270.9749131084
